epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.02168,3.03303,4.7575,1.76792,0.66772,0.02443,0.05199,0.03492,2.70288,4.217,1.84013,0.094048,4.8e-05,4.8e-05
2,17.1132,2.72204,2.78251,1.35822,0.47048,0.16616,0.21216,0.13797,2.81718,3.03384,1.34776,0.0871035,0.000103485,0.000103485
3,25.2781,2.45452,2.1439,1.23302,0.27016,0.25591,0.22948,0.13495,2.79257,2.69085,1.23305,0.0801584,0.000158416,0.000158416
4,37.0959,2.45649,2.00679,1.22582,0.30879,0.22707,0.2244,0.12503,2.87296,2.75483,1.28361,0.0732128,0.000212792,0.000212792
5,44.5487,2.39838,1.90354,1.23411,0.50444,0.19436,0.23912,0.11952,2.76605,2.5593,1.23744,0.0662666,0.000266614,0.000266614
6,52.6375,2.42197,1.76432,1.21523,0.43961,0.31386,0.3113,0.18141,2.56901,2.15141,1.2039,0.0593199,0.000319882,0.000319882
7,60.9272,2.35918,1.83099,1.18712,0.4067,0.33603,0.32392,0.18155,2.50183,2.09165,1.18165,0.0523726,0.000372595,0.000372595
8,69.5213,2.39214,1.71368,1.2308,0.40071,0.40071,0.3497,0.15544,2.52106,2.05854,1.19715,0.0454248,0.000424754,0.000424754
9,79.726,2.36743,1.72295,1.22269,0.39502,0.40338,0.36508,0.16398,2.48775,1.9462,1.19311,0.0384764,0.000476358,0.000476358
10,87.4754,2.39826,1.77496,1.20971,0.43316,0.37789,0.35486,0.18432,2.5075,2.06213,1.20946,0.0315274,0.000527408,0.000527408
11,97.37,2.4236,1.75506,1.18106,0.51961,0.27997,0.33759,0.17542,2.57185,2.02068,1.20629,0.0245779,0.000577904,0.000577904
12,107.678,2.29842,1.64547,1.16214,0.37068,0.36617,0.35296,0.17064,2.65782,3.11155,1.21731,0.0176278,0.000627845,0.000627845
